Adrresse,Prix,Ville,Region,Chambres,Salles de bain,Salles d'eau,Etages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"301, Route 132",49 500 $,Cloridorme,Gaspésie-Îles-de-la-Madeleine,,,,,,98.43x278.87 ,,,,
", chemin de la Sainte-Berthe",49 500 $,Petite-Rivière-St-François,Charlevoix,,,,,,240.45x200.98 ,"1 118,75 $","13,82 $",,
chemin de l'Étoile-de-la-Mer,49 900 $,Petite-Rivière-St-François,Charlevoix,,,,,,"50,000 ",,,,
"43, chemin des Goélettes",49 900 $,Petite-Rivière-St-François,Charlevoix,,,,,,"50,182 ",,,,
chemin de la Sainte-Monique,49 900 $,Petite-Rivière-St-François,Charlevoix,,,,,,47 000 ,,,,
rue Gédéon Lavoie,50 000 $,St-Fulgence,Saguenay-Lac-Saint-Jean,,,,,,"22,658 ",,,,
avenue Suzanne,50 000 $,Chertsey,Lanaudière,,,,,,"40,000 ",,,,
"41, rue du Forgeron Nord",50 000 $,Tadoussac,Côte-Nord,,,,,,"20,000 ","789,00 $","270,00 $",,
Chemin des Hauts Bois,50 000 $,Rivière-Rouge,Laurentides,,,,,,,,,,
"28, rue Lévesque",50 000 $,St-Constant,Montérégie (Rive-Sud Montréal),,,,,,,,,,
"1979, chemin du Muguet",50 000 $,ND-De-La-Merci,Lanaudière,,,,,,"33,011.84 ",,,,
Rue Shaw,50 000 $,Shawville,Outaouais,,,,,,"6,000 ",,,,
"137, route Gauthier Est",50 000 $,Matane,Bas-Saint-Laurent,,,,,,"32,291 ",,,,
"771, chemin des Rapides",50 000 $,Val-Des-Monts,Outaouais,,,,,,"54,450.00 ",,,,
chemin Solbec,50 000 $,Stratford,Estrie,,,,,,"87,456.77 ",,,,
"411, 8e Concession",50 000 $,Clarendon,Outaouais,,,,,,"87,120.00 ",,,,
"714, route 138",50 000 $,St-Tite-Des-Caps,Québec Rive-Nord,,1,,1,,17 000 ,"1 052,00 $","300,00 $",,
", boulevard des Mille-Îles",50 000 $,Auteuil,Laval,,,,,,5 400 ,"225,00 $",,,
"20, chemin Marks",50 000 $,Gracefield,Outaouais,,,,,,4 000 ,"300,00 $","40,00 $",,
Route 138,51 600 $,Cap-Santé,Portneuf,,,,,,"32,291.73 ","452,93 $",,,
rue Principale,52 000 $,St-Gilbert,Portneuf,,,,,,"19,139.31 ","183,71 $",,,
", chemin du Domaine-Bouchard",52 000 $,Lamarche,Saguenay-Lac-Saint-Jean,,,,,,"63,813 ",,,,
"635, chemin Paquette",52 900 $,Mont-Tremblant,Laurentides,,,,,,"43,104.08 ","257,13 $","12,65 $",,
rue Mastine,53 455 $,Windsor,Estrie,,,,,,5 779 ,,,,
"3668, rue Saint-Léandre",53 500 $,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,,,,,,"5,000 ","33 700,00 $","16,63 $",,
"225, rang Sainte-Catherine",53 800 $,Les Éboulements,Charlevoix,,,,,,"43,055 ",,,,
"3, rue du Boisé",53 900 $,Lac-Etchemin,Chaudière-Appalaches,,,,,,"10,091.17 ","388,00 $","13,00 $",,
avenue des Oeillets,54 500 $,Mont-Laurier,Laurentides,,,,,,"35,000 ","205,00 $","100,00 $",,
"75, rue du Plateau",54 900 $,La Malbaie,Charlevoix,,,,,,"14,800 ",,,,
"103, rue du Centre",55 000 $,St-Pierre-Les-Becquets,Centre-du-Québec,,,,,,"239,383.99 ","466,56 $","28,67 $",,
"5926-5928, rue Principale",55 000 $,Ste-Croix,Chaudière-Appalaches,,,,,,"9,797 ","445,44 $",,,
chemin du Lac Lili,55 000 $,Chertsey,Lanaudière,,,,,,"33,000 ",,,,
"500, rue du Condor",55 000 $,St-Calixte,Lanaudière,,,,,,"19,966.62 ","608,21 $","29,68 $",,
Route 132,55 000 $,Grosses-Roches,Bas-Saint-Laurent,,,,,,"2,308,680.01 ",,,,
chemin de la Seigneurie,56 000 $,Inverness,Centre-du-Québec,,,,,,"47,000 ",,,,
"30, 5e Rang Ouest",56 000 $,St-Adalbert,Chaudière-Appalaches,,,,,,"213x2,600 ",,,,
"1, chemin Lemieux",56 000 $,St-Fulgence,Saguenay-Lac-Saint-Jean,,,,,,"160,000 ",,,,
rue Perreault,56 925 $,Chertsey,Lanaudière,,,,,,"49,513.99 ",,,,
"227, rue Verreault",57 500 $,Forestville,Côte-Nord,,,,,,"122,296.32 ","969,00 $","35,00 $",,
chemin Tâché Ouest,58 000 $,St-Hubert-De-Rivière-Du-Loup,Bas-Saint-Laurent,,,,,,"19,573 ",,,,
3e Rang,58 000 $,Carleton-sur-Mer (St-Omer),Gaspésie-Îles-de-la-Madeleine,,,,,,660.53x4 833.46 ,"187,84 $",,,
"305, Chemin des Rives du Cerf",58 000 $,Lac-Aux-Sables,Mauricie,,,,,,"102,590.83 ",,,,
rue du Lac-Marier,59 000 $,Ste-Marguerite-Du-Lac-Masson,Laurentides,,,,,,"43,000 ",,,,
Route 214,59 000 $,Milan,Estrie,,,,,,"156,816.00 ",,,,
chemin de la Réserve,59 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,,,,,,"5,505.74 ",,,,
"146, rue Estelle",59 000 $,St-Modeste,Bas-Saint-Laurent,,,,,,259.19x160.76 ,,,,
"47, chemin de l'Ile",59 000 $,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,,,,,,"45,000 ",,,,
rang Haut-du-Lac Sud,59 250 $,St-Tite,Mauricie,,,,,,"48,558 ",,,,
rue Caldwell,59 500 $,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,,,,,,"40,493.83 ",,,,
"642, route du Golf",59 900 $,Beauceville,Chaudière-Appalaches,,,,,,"65,000 ",,,,
"135, rue Sabrina",59 900 $,Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,,,,,,"13,621.73 ","1 009,00 $","30,00 $",,
"108, rue du Mont-Rainier",59 900 $,Ste-Agathe-Des-Monts,Laurentides,,,,,,"12,572 ",,,,
", rue de la Confédération",59 900 $,East Hereford,Estrie,,,,,,"25,906.58 ","78,96 $",,,
rang Haut-du-Lac Sud,59 950 $,St-Tite,Mauricie,,,,,,"49,085 ",,,,
chemin du Sommet - Par Laforest Habitat Durable,59 999 $,Bowman,Outaouais,,,,,,43 560.00 ,,,,
chemin du Sommet - Par Laforest Habitat Durable,59 999 $,Bowman,Outaouais,,,,,,43 560.00 ,,,,
rue des Érables,60 000 $,Lac-Aux-Sables,Mauricie,,,,,,"44,348.39 ","362,63 $","118,70 $",,
chemin de la Martine - Par Gestion Baiefil,60 000 $,Petite-Rivière-St-François,Charlevoix,,,,,,,,,,
route de la Traverse,60 000 $,ND-De-Montauban,Mauricie,,,,,,"43,421.61 ",,,,
"21, chemin Thompson",60 000 $,Ste-Thérèse-De-La-Gatineau,Outaouais,,,,,,"116,250.23 ",,,,
chemin Scotch,60 000 $,Grenville-sur-la-Rouge,Laurentides,,,,,,"65,000 ",,,,
", chemin des Défricheurs",60 000 $,La Minerve,Laurentides,,,,,,"52,000 ","325,67 $","17,71 $",,
", route Leblanc",60 000 $,Carleton-sur-Mer (St-Omer),Gaspésie-Îles-de-la-Madeleine,,,,,,"30,000 ","855,00 $",,,
"231, rue Lapointe",61 000 $,St-Honore-De-Chicoutimi,Saguenay-Lac-Saint-Jean,,,,,,"16,994 ","413,25 $",,,
", chemin des Goélettes",62 000 $,Petite-Rivière-St-François,Charlevoix,,,,,,"58,000 ",,,,
rue des Commissaires Phases 2 et 3,62 500 $,St-Gilles,Chaudière-Appalaches,,,,,,,,,,
Lot 6 407 940,63 500 $,Ste-Lucie-De-Beauregard,Chaudière-Appalaches,,,,,,"405,584.15 ",,,,
"A-13, rue Ouellet",63 500 $,St-Onesime-D'Ixworth,Bas-Saint-Laurent,,,,,,"111,959.74 ",,,,
Projet Les Bories - Par les Constructions Raymond &amp; Fils,63 750 $,Morin-Heights,Laurentides,,,,,,,,,,
"309, rue des Chênes",64 000 $,St-Apollinaire,Chaudière-Appalaches,,,,,,169.13x131.99 ,"277,78 $",,,
rue Jacques-Giroux,64 900 $,St-Gabriel-De-Valcartier,Québec Rive-Nord,,,,,,"30,000.09 ",,,,
chemin de la Base,65 000 $,St-Roch-De-Mekinac,Mauricie,,,,,,450.52x220.05 ,"156,00 $",,,
rue Saint-Joseph,65 000 $,Nominingue,Laurentides,,,,,,"36,238 ",,,,
rang Gosford,65 000 $,St-Raymond,Portneuf,,,,,,"34,271 ","260,00 $",,,
", chemin Fernand-Labelle",65 000 $,Mont-Laurier,Laurentides,,,,,,"41,067.55 ","613,43 $",,,
Route 132,65 000 $,Grosses-Roches,Bas-Saint-Laurent,,,,,,"172,222.57 ",,,,
17e Avenue,65 000 $,St-Prosper-De-Dorchester,Chaudière-Appalaches,,,,,,"21,706.5 ",,,,
"35, rue Principale",65 000 $,St-Guy,Bas-Saint-Laurent,2,1,,1,735 ,153x125 ,"838,87 $","18,16 $","900,00 $",
"47, Chemin du Goeland",65 500 $,Val-Des-Monts,Outaouais,,,,,,"41,731.68 ","366,00 $",,,
rue Dusseault,66 500 $,Val-des-Sources,Estrie,,,,,,"10,325 ","236,00 $",,,
rue Régina-Gagnon,66 900 $,Sherbrooke (Deauville),Estrie,,,,,,"7,006 ","1 400,00 $","35,00 $",,
rue du lac Walfred,67 000 $,Ste-Marguerite-Du-Lac-Masson,Laurentides,,,,,,"50,000 ",,,,
"662, rue des Muguets",68 000 $,Chertsey,Lanaudière,,,,,,"35,000 ",,"120,95 $",,
boulevard Talbot,68 000 $,Chicoutimi (Laterrière),Saguenay-Lac-Saint-Jean,,,,,,"25,000 ",,,,
"3400, chemin de la Presqu'île",68 900 $,St-Mathieu-Du-Parc,Mauricie,,,,,,"86,000 ",,,,
rue Fief,69 000 $,Petite-Rivière-St-François,Charlevoix,,,,,,175.41x282.24 ,,,,
"499, Grande Rue du Lac",69 000 $,St-Nérée,Chaudière-Appalaches,,,,,,"21,527.82 ","478,61 $",,,
"91, chemin de l'Île",69 000 $,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,,,,,,"61,500 ",,,,
chemin du Fief,69 000 $,Petite-Rivière-St-François,Charlevoix,,,,,,"55,304 ","1 400,00 $","100,00 $",,
"51-3945, route 337 Nord",69 000 $,Ste-Julienne,Lanaudière,,,,,,"3,200 ","895,55 $","43,93 $",,
rue Simard,69 500 $,St-Calixte,Lanaudière,,,,,,"47,361.21 ","129 366,00 $",,,
rue Salaberry,69 500 $,Lac-Mégantic,Estrie,,,,,,"33,232.50 ","292,00 $",,,
", rue des Archanges",69 500 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,,,,,,"6,231.2 ","779,59 $","20,79 $",,
", rue des Érables",69 500 $,St-Raymond,Portneuf,,,,,,30 000 ,"372,00 $","35,63 $",,
chemin Caron,69 900 $,Lac-Simon,Outaouais,,,,,,150.00x297.01 ,"378,82 $","29,20 $",,
"275, chemin du Lac-Huron",69 900 $,Lac-Aux-Sables,Mauricie,,,,,,"48,000 ","200,00 $",,,
Route 132 Est,69 990 $,Ste-Luce (Ste-Luce-sur-Mer),Bas-Saint-Laurent,,,,,,"13,000 ",,,,
"1, rue des Pionniers",70 000 $,St-André-D'Argenteuil,Laurentides,,,,,,"58,457 ","842,93 $","76,61 $",,
"7, rue du Lac DuChamps",70 000 $,La Tuque (Clova),Mauricie,,,,,,"47,124.40 ","112,00 $",,,
rue Delisle,70 000 $,Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,,,,,,"9,000 ",,,,
montée du Cerf,70 000 $,Entrelacs,Lanaudière,,,,,,"43,803.73 ",,,,
"293, avenue de la Bonne-Entente",71 500 $,Ste-Marie,Chaudière-Appalaches,,,,,,"6,500 ",,,,
rue Claude-Bouchard - Le Littoral de la Rivière aux Chiens,71 525 $,Ste-Anne-de-Beaupré,Québec Rive-Nord,,,,,,,,,,
rue de la Comtesse,72 500 $,Sorel-Tracy,Montérégie (Rive-Sud Montréal),,,,,,"5,000 ",,,,
"2, rue Boivin",73 500 $,St-Theophile,Chaudière-Appalaches,,,,,,70 000 ,,,,
"236-196, route 289",74 000 $,St-Marc-Du-Lac-Long,Bas-Saint-Laurent,,,,,,"112,000 ","287,72 $","33,23 $",,
"Lot 4-34, chemin de l'Hémisphère-Nord",74 500 $,Mont-Tremblant,Laurentides,,,,,,"8,176 ",,,,
", chemin de l'Église",74 745 $,St-Damien,Lanaudière,,,,,,22 650 ,"185,24 $",,,
rue des Coteaux,75 000 $,St-Alphonse-Rodriguez,Lanaudière,,,,,,"35,000 ",,,,
"125, rue Rose",75 000 $,St-Calixte,Lanaudière,,,,,,321.52x127.95 ,,"32,00 $",,
"129, rue Lemarquand",75 000 $,Paspebiac,Gaspésie-Îles-de-la-Madeleine,3,1,1,2,904.17 ,"8,600 ","1 512,77 $",,"44,58 $",
Domaine du Luxuor,75 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,,,,,,,,,,
